"Electricity statistics (MW/GWh) by Country/area, Technology, Data Type, Grid connection and Year"

"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics (MW/GWh)
"Afghanistan","Total Renewable","Electricity Generation (GWh)","All","2020",1054.37
"Afghanistan","Total Renewable","Electricity Generation (GWh)","On-grid","2020",912.60
"Afghanistan","Total Renewable","Electricity Generation (GWh)","Off-grid","2020",141.77
"Afghanistan","Total Renewable","Electricity Installed Capacity (MW)","All","2020",380.45
"Afghanistan","Total Renewable","Electricity Installed Capacity (MW)","On-grid","2020",323.00
"Afghanistan","Total Renewable","Electricity Installed Capacity (MW)","Off-grid","2020",57.45
"Afghanistan","Solar photovoltaic","Electricity Generation (GWh)","All","2020",65.99
"Afghanistan","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2020",31.93
"Afghanistan","Solar photovoltaic","Electricity Generation (GWh)","Off-grid","2020",34.06
"Afghanistan","Solar photovoltaic","Electricity Installed Capacity (MW)","All","2020",31.05
"Afghanistan","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2020",11.70
"Afghanistan","Solar photovoltaic","Electricity Installed Capacity (MW)","Off-grid","2020",19.35
"Afghanistan","Solar thermal energy","Electricity Generation (GWh)","All","2020",-
"Afghanistan","Solar thermal energy","Electricity Generation (GWh)","On-grid","2020",-
"Afghanistan","Solar thermal energy","Electricity Generation (GWh)","Off-grid","2020",-
"Afghanistan","Solar thermal energy","Electricity Installed Capacity (MW)","All","2020",-
"Afghanistan","Solar thermal energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Afghanistan","Solar thermal energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Afghanistan","Onshore wind energy","Electricity Generation (GWh)","All","2020",0.12
"Afghanistan","Onshore wind energy","Electricity Generation (GWh)","On-grid","2020",-
"Afghanistan","Onshore wind energy","Electricity Generation (GWh)","Off-grid","2020",0.12
"Afghanistan","Onshore wind energy","Electricity Installed Capacity (MW)","All","2020",0.40
"Afghanistan","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",0.30
"Afghanistan","Onshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2020",0.10
"Afghanistan","Offshore wind energy","Electricity Generation (GWh)","All","2020",-
"Afghanistan","Offshore wind energy","Electricity Generation (GWh)","On-grid","2020",-
"Afghanistan","Offshore wind energy","Electricity Generation (GWh)","Off-grid","2020",-
"Afghanistan","Offshore wind energy","Electricity Installed Capacity (MW)","All","2020",-
"Afghanistan","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Afghanistan","Offshore wind energy","Electricity Installed Capacity (MW)","Off-grid","2020",-
"Afghanistan","Renewable hydropower","Electricity Generation (GWh)","All","2020",988.26
"Afghanistan","Renewable hydropower","Electricity Generation (GWh)","On-grid","2020",880.67
"Afghanistan","Renewable hydropower","Electricity Generation (GWh)","Off-grid","2020",107.59
"Afghanistan","Renewable hydropower","Electricity Installed Capacity (MW)","All","2020",348.99
"Afghanistan","Renewable hydropower","Electricity Installed Capacity (MW)","On-grid","2020",311.00
"Afghanistan","Renewable hydropower","Electricity Installed Capacity (MW)","Off-grid","2020",37.99
"Afghanistan","Mixed Hydro Plants","Electricity Generation (GWh)","All","2020",-
"Afghanistan","Mixed Hydro Plants","Electricity Generation (GWh)","On-grid","2020",-
