bus0,bus1,capacity,length,GWKm
not found 0,not found 3,17060.17993350284,225.61412392098933,3849.0175496316856
not found 0,not found 6,38607.30280102452,210.6256529638117,8131.688361637385
not found 0,not found 0,22368.777066860384,81.330768496784,1819.2698291809932
not found 1,not found 11,7316.658665670986,178.44644017262715,1305.6316928471915
not found 1,not found 7,55694.75517506849,203.39483195123273,11328.025369398105
not found 10,not found 2,26765.601205479452,311.4534262907173,8336.238202177528
not found 11,not found 3,7316.658665670986,177.20467037812676,1296.5460871194919
not found 2,not found 5,26765.601205479452,347.5676148612777,9302.856171316633
not found 3,not found 0,7316.658665670986,225.61412392098933,1650.7415348842744
not found 3,not found 11,12602.137234246577,177.20467037812676,2233.1575746545827
not found 5,not found 0,164998.77909794517,448.489396124863,74000.2027989771
not found 5,not found 3,12602.137234246577,439.0689055053236,5533.20660246853
not found 5,not found 8,26174.52751219178,336.98676132665673,8820.469255588981
not found 5,not found 9,93055.07352438357,401.5655703425007,37367.71367308243
not found 7,not found 1,7316.658665670986,203.39483195123273,1488.170559748681
not found 8,not found 6,26174.52751219178,337.9938393518347,8846.829047065927
not found 9,not found 0,55694.75517506849,202.81997992087693,11296.009126305547
not found 9,not found 1,37360.31834931507,132.5630564720785,4952.597991155085
not found 2,not found 5,4460.933534246575,479.60552355466,2139.4883632348683
not found 2,not found 4,9814.053775342465,362.44103078019384,3557.015766467376
not found 3,not found 0,8074.289696986301,371.67762786458763,3001.032841267349
not found 3,not found 8,9814.053775342465,590.2950951066221,5793.187806697284
not found 4,not found 5,19851.15422739726,573.5912423672083,11386.448215715855
not found 7,not found 2,9814.053775342465,187.92934072679355,1844.3486558574089
not found 8,not found 7,9814.053775342465,103.89803716081653,1019.6609238487832
not found 0,not found 0,33457.001506849316,494.9721622591798,16560.284378553843
not found 0,not found 1,55694.75517506849,182.78841756674908,10180.356165218278
not found 1,not found 7,37360.31834931507,310.83130588009715,11612.75654061376
